1	6.67	1
2	6.85	1
3	6.29	1
4	6.41	1
5	6.52	1
6	6.71	1
7	6.98	1
8	6.59	1
9	6.35	1
10	6.81	1
11	6.15	1
12	6.43	1
13	6.59	1
14	6.6	1
15	6.33	1
16	6.63	1
17	6.32	1
18	6.91	1
19	6.82	1
20	6.98	1
21	7.03	1
22	7.23	1
23	6.76	1
24	7.03	1
25	7.09	1
26	7.28	1
27	6.85	1
28	7.7	1
29	7.04	1
30	7.08	1
31	7.15	1
32	6.54	1
33	6.87	1
34	6.71	1
35	6.73	1
36	6.67	1
37	7.13	1
38	7.55	1
39	7.12	1
40	7.07	1
41	7.59	1
42	6.96	1
43	6.39	1
44	6.96	1
45	6.27	1
46	6.69	1
47	6.82	1
48	6.61	1
49	6.41	1
50	5.58	1
51	5.64	1
52	6.47	1
53	6.88	1
54	6.34	1
55	6.79	1
56	6.16	1
57	6.28	2
58	6.67	2
59	6.94	2
60	7.15	2
61	5.83	2
62	6.39	2
63	6.5	2
64	6.86	2
65	6.83	2
66	7.24	2
67	6.87	2
68	7.1	2
69	6.85	2
70	6.79	2
71	6.28	2
72	5.85	2
73	6.73	2
74	5.85	2
